Gene,AHR,ARID1A,ARRDC3,ATL1,BAK1,BCL2L11,BCORL1,BPGM,C3orf72,C19orf26,CBFA2T3,CBL,CDKN1A,CDKN1B,CDKN1C,CEBPA,CEBPB,CEBPE,CELF2,CITED1,CKS1B,CLDN6,CNN1,CNNM4,COL1A1,COL2A1,CSRNP1,DLX2,DUSP9,EGR1,ELMSAN1,ETS2,FEV,FOSB,FOXA1,FOXA3,FOXF1,FOXL2,FOXO4,GLB1L2,HES7,HK2,HNF4A,HOXA13,HOXB9,HOXC13,IER5L,IGDCC3,IKZF3,IRF1,ISL2,JUN,KIAA1804,KIF2C,KIF18B,KLF1,KMT2A,LHX1,LYL1,MAML2,MAP2K3,MAP2K6,MAP4K3,MAP4K5,MAP7D1,MAPK1,MEIS1,MIDN,NCL,NIT1,OSR2,PLK4,POU3F2,PRDM1,PRTG,PTPN1,PTPN9,PTPN12,PTPN13,RHOXF2,RREB1,RUNX1T1,S1PR2,SAMD1,SET,SGK1,SLC4A1,SLC6A9,SLC38A2,SNAI1,SPI1,STIL,TBX2,TBX3,TGFBR2,TMSB4X,TP73,TSC22D1,UBASH3A,UBASH3B,ZBTB1,ZBTB10,ZBTB25,ZC3HAV1,ZNF318,control
SAMD11,8.433253,4.259622,7.6580215,4.135412,22.9513,7.2362123,6.83551,5.2303348,2.419078,7.247328,13.952272,6.037933,5.034667,4.9856215,2.002339,7.543125,43.997623,36.84423,5.2556696,0.15299197,3.5768583,8.294332,2.968208,3.9266627,6.6887307,9.264086,4.9165707,30.755518,8.237299,3.6861722,8.900489,9.663885,6.7860584,7.8234878,16.234758,8.5107,8.886623,18.754757,1.5030653,6.010207,1.1062849,5.123899,1.5729814,3.644897,9.555958,13.010147,3.3111746,21.845186,11.629697,5.3832974,6.4775314,4.064316,3.3660612,4.495958,2.051259,25.721052,2.1607726,5.050164,6.6849027,6.36349,6.4835777,10.259047,2.8203201,4.3914585,11.570735,11.214059,12.532424,5.3569055,1.1409172,2.803101,33.302643,2.7996778,5.2081614,1.4527003,25.597507,4.3775907,3.2034974,7.6496735,11.420686,4.6241775,4.935987,10.842444,17.366053,7.952795,10.56827,5.1209393,14.485801,5.98589,4.527713,17.135067,13.822427,4.575009,6.3918524,6.7133703,12.651583,6.8828177,2.4862864,3.953932,7.4721313,16.785988,4.8609734,5.2054963,6.3670044,3.0747602,4.075434,138.22908
HES4,145.9513,38.8165,111.432945,97.930275,330.17947,121.90723,96.800514,105.72241,59.042072,208.64893,149.48236,164.27682,84.97824,113.517845,43.230515,104.32182,104.629555,264.4042,90.2223,54.499664,48.35652,144.22635,165.23929,97.48796,76.87878,133.65018,96.34488,164.77881,186.95247,77.29993,208.01868,295.2788,203.18115,146.02237,202.56688,110.496445,198.25766,160.84772,54.83058,105.8527,22.286615,72.2525,50.8087,54.82465,168.13066,86.19957,97.57788,158.81477,176.90639,107.89994,131.6712,58.348732,59.244347,135.9311,56.83531,472.6514,48.592915,77.148346,100.19282,129.18784,117.30289,200.43375,86.28294,84.67089,182.3378,195.75876,193.0928,58.49545,46.054974,39.392,227.18996,24.288904,88.340866,70.74493,179.11353,102.74836,93.30441,87.82398,55.20434,80.49944,90.39387,168.56734,114.27226,114.003334,215.20203,115.1084,253.53833,142.63025,71.71562,86.60563,132.06378,72.55439,138.64207,147.2775,144.63736,114.83372,57.86292,99.335724,187.32501,297.40067,165.99655,34.546516,152.87059,100.325645,146.0974,2721.6821
ISG15,255.72644,92.291664,199.7624,144.60922,597.3587,231.73657,205.5479,195.20142,121.99198,348.14258,305.81268,270.01157,152.58382,210.19371,99.34397,261.7062,229.08322,575.0911,202.16788,106.25214,107.2797,286.08698,294.49927,188.70175,164.86844,222.92355,177.466,327.91336,287.82797,127.74,372.66675,694.817,315.72772,263.93042,358.4356,192.82802,375.82928,317.4331,90.967094,213.31313,54.149975,133.3874,103.59035,128.92287,339.706,171.47487,184.32782,268.91635,301.1413,646.5186,255.30945,106.05167,97.12482,269.2508,107.550606,759.0161,90.30881,170.2162,165.45778,241.63795,218.42957,363.57916,138.41592,157.51985,331.768,487.40915,341.0551,122.42133,89.98978,97.731705,461.81577,48.87693,166.12935,107.3876,280.3506,159.9335,178.63452,166.02527,128.2667,126.64456,132.3611,361.62564,237.88611,215.82877,464.21875,203.0878,406.9344,235.09906,119.117966,201.38464,307.05035,128.20284,287.89722,287.27603,245.35872,237.77834,98.281975,170.26508,339.20972,515.0321,262.9226,75.79943,297.21805,205.489,264.05597,5020.509
MMP23B,13.7020035,6.2031307,7.292426,8.396494,25.943224,10.722787,5.7516565,8.460969,2.2305002,17.403992,10.893068,12.660532,10.811846,15.467176,6.4678783,12.094518,12.817186,24.132006,9.065261,7.354128,2.633288,16.970798,13.326743,6.2609677,5.3845234,6.8189626,6.8537927,10.075652,16.101362,6.819017,9.52923,14.562135,12.81637,9.08387,15.538009,9.511225,12.664235,9.299158,5.5372934,8.891988,1.2853224,4.819247,4.34846,4.6359444,14.486604,3.5387945,10.718416,15.934149,12.097038,7.1265244,7.7851877,5.813034,5.5615854,5.856657,3.9890327,33.439873,4.7785873,4.414555,8.434034,8.313116,8.593175,14.517423,4.800055,4.2796497,8.162901,9.016129,9.562961,7.0938315,2.6456838,1.8244419,13.916783,1.2185147,5.730418,7.649436,19.634808,11.540556,8.044597,6.115835,8.229618,7.8805323,6.9840264,14.115892,9.6024065,9.470482,21.119713,9.50987,21.379549,10.85554,4.7893405,9.391951,14.821992,5.184159,6.868498,11.456295,10.966268,7.17283,9.101496,5.218563,15.372066,23.845463,19.242287,3.8283231,14.276839,8.797555,10.708493,182.96613
SMIM1,146.08572,63.639694,114.58165,141.82454,319.44275,131.23975,115.66238,117.30759,76.04018,223.46654,146.25754,197.23166,110.15886,165.17479,69.48972,125.7632,118.02494,316.25064,130.6794,66.50742,74.34038,218.24481,243.02617,100.277214,73.73893,111.778755,96.07719,162.13501,258.27347,73.93564,201.7527,289.409,221.68468,135.5332,220.57974,133.29169,207.26616,183.34224,55.031612,127.99016,28.903236,79.64028,53.67478,72.182724,197.02843,104.09097,165.24753,173.89438,361.16318,94.03124,135.58095,64.25685,56.059166,136.93874,60.00435,433.9786,56.757645,94.65071,105.638565,125.83816,113.66243,176.48534,82.375015,88.00125,174.48508,186.03865,199.67535,76.60853,51.725296,41.701912,224.57025,31.065613,113.40672,131.0497,317.842,132.98929,109.09386,111.76355,73.32225,119.96971,73.30123,174.2118,125.310875,140.9655,213.93825,143.23636,213.92763,144.91408,64.40892,98.55843,197.91666,76.89461,163.50797,154.2298,140.26698,123.39077,126.19511,95.869774,209.92343,325.0055,219.94656,42.62511,186.91782,97.65875,139.57184,2783.9028
LINC00337,4.018447,1.2747619,3.4280589,2.7264664,12.930423,5.393425,3.4180107,2.210328,2.404613,3.3966842,5.4222527,6.645345,2.124971,4.1720037,1.0897511,3.2688603,4.2993674,10.24946,5.018121,1.0731704,1.118118,3.6343174,4.817245,4.0627675,2.562329,2.3327105,3.0415232,4.9820814,5.637915,1.6511681,7.517684,12.169807,5.386346,4.2714634,7.449786,3.5959544,6.94507,7.0304933,1.1650252,3.613937,1.5560973,1.2395389,1.0464029,1.509404,3.1359332,1.9946929,2.015794,7.0012226,4.022582,2.4358463,4.544167,1.5778475,0.9491599,4.6744165,1.0545559,13.995013,1.2538601,3.8368979,3.9156113,5.070346,6.4938755,6.8754745,2.8016515,1.8042344,5.023565,5.728808,7.847607,2.0037243,2.0423408,1.7607173,6.536853,0.9974084,1.2893062,0.48631886,3.197597,2.6944566,3.08586,4.3265533,1.741725,0.913303,2.0183482,5.60778,2.610895,4.33399,9.197966,4.7334313,9.483934,4.521089,2.6525297,3.8873677,3.1087801,2.1572177,4.1358247,4.5101156,4.1993966,6.092052,1.2012006,3.7208438,5.605272,7.8352284,6.966921,0.87975377,5.503997,5.055514,4.597553,89.81664
ENO1,799.1398,422.0349,617.8806,509.87302,1967.8539,716.36725,670.4407,648.2397,430.26233,1139.0507,900.163,830.892,547.5543,780.9302,351.58838,1069.4441,778.5602,2255.108,592.1651,373.08298,336.58032,989.7998,997.42377,620.3042,437.65417,887.8453,668.9357,992.03516,951.50806,421.11356,1337.9534,1729.0419,1078.6696,804.17804,1196.3877,693.6742,1118.1522,980.566,349.6517,638.7895,268.3943,424.40814,401.6241,504.44873,1055.6046,596.8194,606.00415,837.60175,1331.2487,663.2689,720.3333,374.1174,334.48682,859.386,366.87616,2952.2637,323.41486,515.80145,517.3219,863.16504,886.65594,1340.3335,468.95248,518.6404,1115.3619,1092.9268,968.7698,422.37296,344.90042,264.88815,1524.1993,219.55945,487.4627,486.4237,991.6214,605.57776,568.38556,551.1962,435.33832,525.6334,449.93875,1052.2863,761.87854,759.3744,1307.3478,621.1237,1448.6296,759.8309,454.76276,670.7327,1157.9768,499.17422,873.0723,900.9411,849.31616,690.6952,550.8149,505.242,1029.8367,1628.9478,1007.42926,323.84348,937.4853,692.6544,774.95135,16097.461
GPR157,5.5925436,0.5841205,2.0455863,1.8691092,9.7775135,4.108734,2.1918764,2.4802375,1.6210222,5.266946,4.566749,4.3407245,4.1434197,3.2638671,1.220999,0.9971145,3.8415048,7.4116044,3.282993,1.0851991,0.96844256,6.068268,3.678192,3.4731317,1.008509,2.527975,4.5252585,5.5695896,5.8623915,2.5924654,6.4749203,6.669837,4.978426,3.341575,4.154654,2.4795263,7.991748,6.20259,0.25287014,3.934313,0.5973612,2.528158,0.9829831,2.5766509,6.144265,3.5753312,0.93998873,5.5030155,2.5002997,1.3450742,4.3729444,1.5682828,1.6653006,5.0023766,1.6265683,16.83804,0.9866353,1.214213,1.9942083,2.8029501,4.13993,7.6302614,3.9531555,1.5688535,6.5404644,6.643206,4.010232,2.0665836,1.3468138,2.3159676,6.1212626,1.2536604,1.1607366,1.8378425,2.9216707,4.7828274,2.153373,1.2626718,2.5184584,4.986429,3.6475654,5.6294465,3.896752,6.0342493,4.9762278,1.9546206,4.5747786,6.001791,4.658503,3.3767002,2.4407995,2.2986965,3.0091002,4.6516547,3.0121975,3.818388,1.1702713,3.5380075,4.85456,10.972238,3.6521728,0.39647922,4.457549,3.4170532,3.7355604,82.762924
PGD,327.8506,125.00518,246.58897,195.06474,757.3906,279.1664,274.22305,249.4483,147.56335,462.31036,348.37296,349.04745,180.15518,270.9243,115.97297,564.9147,352.3642,1032.4866,275.36206,126.64938,124.605545,350.23666,391.49738,250.91974,177.20804,292.31787,230.30676,395.9496,427.67206,169.88568,464.5972,667.7295,425.84628,355.06268,477.6689,258.3616,459.3981,397.5305,135.30685,234.62154,75.197556,168.9433,127.04517,159.22725,422.50134,214.78102,235.05376,307.52042,400.60718,213.23607,296.2848,156.48611,145.84576,324.7279,133.57108,980.1819,113.55234,202.13602,232.41414,298.33743,272.67197,473.0477,187.10606,184.18613,400.0676,445.74216,437.9121,147.96902,124.33787,91.240265,608.2604,67.226,206.01512,169.12741,338.82184,220.57643,224.18382,230.33356,155.16199,176.13223,165.50516,388.2578,291.80728,267.21994,516.0613,249.72575,534.30426,282.84882,166.23653,237.21155,365.43488,181.29372,361.11105,364.42508,327.51337,289.007,134.9004,206.6043,431.19666,637.8571,360.83426,115.14972,365.1587,252.85022,310.50793,6283.4175
SRM,843.9979,379.0751,625.56976,617.8089,1864.0802,679.54803,668.049,617.1004,459.79645,1114.4398,935.3142,878.94763,473.46997,683.3532,333.61636,1519.0592,960.6671,2537.001,654.75006,394.2672,329.99295,987.6657,991.2207,642.2235,573.17896,768.0739,573.9997,942.9756,1154.9991,417.6807,1288.8568,1655.4065,1078.0042,782.8185,1248.201,715.8213,1132.7544,1041.5552,325.76935,556.5823,282.13873,416.29788,355.86322,582.01044,1112.397,742.5,594.71155,832.0679,1363.5317,579.171,674.84296,417.6372,350.28833,783.2799,378.09457,2959.0225,335.73135,544.5979,549.7796,815.07776,696.7142,1209.8885,491.27573,508.6202,1064.6355,1060.4819,1029.6152,470.86288,335.44376,352.60208,1585.2598,182.46466,537.2743,590.33673,935.92615,676.2278,530.05096,535.5413,436.9199,516.1347,443.35922,981.4807,804.075,761.0116,1447.2144,653.94556,1426.7614,692.7276,428.30997,636.60986,1335.3418,513.999,879.8963,929.605,830.066,622.51917,590.4065,508.5795,1092.2369,1586.2369,950.18066,326.58264,904.2943,628.30145,768.3311,15342.836
CDC42,944.4673,392.3581,701.74646,647.3025,2074.0361,835.40906,751.29877,781.1508,417.76877,1323.5756,1036.379,1040.6432,508.19775,753.6125,302.13617,1065.3737,822.41547,2201.0508,689.0751,352.52228,385.26364,1107.6023,1127.0549,713.0626,471.21475,845.0163,606.5817,1175.3909,1203.9204,508.64645,1340.0397,2002.5754,1260.5249,900.6295,1379.5734,760.9812,1340.3557,1108.7388,363.92062,701.4989,232.41216,533.1131,367.9237,517.14343,1217.9203,597.0762,639.2451,917.1892,1173.9972,643.22473,848.112,433.69202,421.36603,881.5465,394.13312,2850.9548,365.8762,614.45667,635.47565,850.34656,809.98944,1192.8749,508.0224,518.25854,1189.5281,1257.7521,1249.2944,465.8945,322.57993,300.38528,1590.5383,206.27553,580.87024,484.54752,1043.4242,637.52014,604.013,635.8336,446.77383,549.64154,517.76953,1156.9153,843.6516,766.68866,1519.9442,779.0536,1466.6383,819.55286,523.9107,675.47723,1035.3904,544.0912,909.4083,1097.7192,893.107,742.12024,467.13467,618.03033,1221.6884,1862.4675,1056.4994,305.0312,1071.3157,639.8383,896.724,17593.416
ZNF436-AS1,54.13454,20.991985,33.590824,38.380177,108.03832,41.526043,37.57238,34.25149,24.616291,58.772213,56.053204,54.58343,42.200336,45.77078,21.380638,36.376537,38.32749,111.91481,30.528467,14.923706,23.220438,55.70916,62.61971,36.762955,21.679028,41.556347,38.264362,59.86788,55.814365,26.629528,64.98108,87.74082,55.59953,43.412094,73.826164,46.5737,68.59703,64.21465,21.810833,38.691113,11.986654,28.033825,19.652994,26.64867,58.915104,43.866425,34.8254,58.738754,72.38804,36.06699,39.064537,22.515461,22.222908,47.909557,17.724688,131.94005,21.38779,29.219156,32.54682,35.026077,35.316322,61.10722,28.901987,26.791126,57.26472,50.966827,60.800377,24.697256,10.8222,14.028147,77.70494,8.543105,31.351223,20.983366,63.716484,35.499126,36.846146,27.983494,19.465038,36.689507,20.069342,49.20501,39.750103,30.60764,96.126015,48.820595,95.98892,45.781532,20.605185,35.322693,63.26047,31.589975,48.977745,73.44202,47.663006,37.25014,26.476574,36.091415,58.2507,105.896675,61.258698,19.335077,58.113403,26.176407,43.84215,866.54565
ID3,1016.5362,287.87518,502.20016,484.93616,1953.6729,623.0084,787.8061,608.83386,643.14105,1024.8137,1011.95575,679.9987,482.14404,673.9961,286.27573,722.82635,2233.213,2994.248,750.4475,331.33606,272.30383,1046.7592,796.6452,638.7135,500.45474,685.1334,572.30963,1201.2073,860.3723,435.50003,1213.136,1737.8268,978.51465,1156.9078,2181.1582,859.65625,1264.5118,1567.0565,274.43884,619.6819,364.3322,385.4256,251.23552,591.9958,1313.5515,881.3168,430.51477,824.2735,704.4156,496.7815,676.9053,451.07306,376.71555,784.074,348.97372,2861.0225,250.40956,616.86273,490.74857,667.50653,794.15283,1037.3906,390.24927,491.11084,1113.2847,1262.893,976.8865,552.3457,222.2204,310.8395,2253.346,129.03351,553.93225,337.43127,793.8912,409.28888,491.42725,452.76556,720.57086,486.4414,497.26746,938.7342,2004.7604,815.3517,998.25543,708.5165,1231.7673,614.8828,404.57568,832.5238,1003.10156,487.87878,884.8637,1132.0416,837.92145,592.69275,554.1587,452.4289,921.639,1337.4401,767.50916,387.5761,915.9143,570.82794,1022.19556,14687.512
FUCA1,42.06304,17.18447,28.747679,21.828278,81.807465,34.31966,29.691689,24.870321,21.031704,52.495083,38.732502,34.90452,19.434612,35.029697,11.433903,48.631645,33.04602,87.52963,31.031315,14.321666,15.316883,40.734634,42.85377,25.862772,22.625063,34.93019,22.852322,43.05526,44.991474,14.875953,55.241295,77.737656,47.37603,42.14463,53.357784,28.540478,46.43754,52.107403,12.573866,28.546192,11.461073,17.70728,14.023136,20.603893,47.42744,22.505527,21.94303,28.504654,45.417118,23.181847,35.914803,13.395682,13.259213,31.654213,12.137116,115.554535,10.0724945,25.136896,21.727077,31.679728,32.235085,52.447533,20.133194,20.092537,46.963596,50.73777,50.538837,14.47225,12.131062,12.129431,67.0114,7.1410246,19.166426,18.609331,31.087568,21.401344,23.931816,21.211128,15.63763,17.682106,19.49064,44.99842,30.426243,28.081572,51.585426,25.38314,49.973022,31.195179,18.798279,24.313433,31.207317,17.573524,36.135,36.22381,31.619152,30.191513,28.269518,24.431402,43.234577,65.763985,34.885452,10.15196,35.86486,27.929384,36.332134,672.4098
RSRP1,280.6901,122.213295,224.00064,178.94054,630.31525,241.41838,231.72726,226.15422,136.52765,405.85117,321.5449,311.2881,174.27467,238.47348,99.73462,307.635,257.63947,652.1918,216.52878,120.51038,111.865326,329.23956,364.91214,216.14041,153.98027,268.63278,189.69624,334.49722,363.6065,147.54175,386.72034,602.84216,391.90988,270.5032,438.5359,237.41266,418.17484,354.95325,107.80843,208.64117,85.019165,148.42357,116.45305,152.30054,394.6778,215.84027,205.15645,279.71774,384.79993,195.08813,269.88397,133.90935,110.379196,285.75775,121.95258,854.5409,103.326065,193.08374,192.0695,257.15353,224.25865,380.21948,162.29346,174.8193,343.84814,380.15747,380.36945,141.97063,104.737206,103.68181,502.72937,53.93919,185.82164,151.77696,308.75452,215.98906,189.40356,179.24551,128.17169,175.58179,139.59827,338.20206,257.59927,247.89543,461.96222,231.39508,441.4362,253.55212,146.61171,228.98546,324.32294,158.82494,328.37878,314.34213,270.67053,223.61809,142.52367,183.34445,370.3884,576.6221,343.91113,103.897446,330.49854,219.79254,268.73386,5321.393
