gene_symbols,AHR,ARID1A,ARRDC3,ATL1,BAK1,BCL2L11,BCORL1,BPGM,C3orf72,C19orf26,CBFA2T3,CBL,CDKN1A,CDKN1B,CDKN1C,CEBPA,CEBPB,CEBPE,CELF2,CITED1,CKS1B,CLDN6,CNN1,CNNM4,COL1A1,COL2A1,CSRNP1,DLX2,DUSP9,EGR1,ELMSAN1,ETS2,FEV,FOSB,FOXA1,FOXA3,FOXF1,FOXL2,FOXO4,GLB1L2,HES7,HK2,HNF4A,HOXA13,HOXB9,HOXC13,IER5L,IGDCC3,IKZF3,IRF1,ISL2,JUN,KIAA1804,KIF2C,KIF18B,KLF1,KMT2A,LHX1,LYL1,MAML2,MAP2K3,MAP2K6,MAP4K3,MAP4K5,MAP7D1,MAPK1,MEIS1,MIDN,NCL,NIT1,OSR2,PLK4,POU3F2,PRDM1,PRTG,PTPN1,PTPN9,PTPN12,PTPN13,RHOXF2,RREB1,RUNX1T1,S1PR2,SAMD1,SET,SGK1,SLC4A1,SLC6A9,SLC38A2,SNAI1,SPI1,STIL,TBX2,TBX3,TGFBR2,TMSB4X,TP73,TSC22D1,UBASH3A,UBASH3B,ZBTB1,ZBTB10,ZBTB25,ZC3HAV1,ZNF318,control
CPXM1,34.152824,25.533142,14.094797,31.819513,27.920944,12.285432,24.501083,19.965834,14.106227,23.949926,17.37902,21.429728,27.230844,38.06547,24.392422,9.123009,17.425999,23.558075,11.70981,10.144676,17.639626,32.777718,22.330355,11.55994,25.388058,12.631851,8.4109535,25.89807,37.469574,10.798647,27.10761,22.108698,22.23071,15.98597,34.479233,22.593767,29.948832,35.149338,6.844547,12.456672,13.106721,12.480872,21.685238,31.059212,30.957302,47.456463,26.599134,28.143913,75.47493,11.592075,11.540846,17.243958,5.747016,18.457718,6.019459,42.139065,8.058627,6.6171255,16.250843,11.623341,6.648942,16.92833,10.688945,11.547894,21.775826,17.6886,25.781847,9.979267,5.665683,20.337976,21.186678,6.7896543,11.618944,50.016735,27.98685,15.868516,15.503642,13.443037,7.6269655,13.471153,22.143234,14.9854765,80.4289,35.99702,110.451294,14.847606,21.526749,14.44878,3.4820826,14.921096,8.84919,11.442572,76.469315,47.344997,11.103394,14.154752,20.179192,10.34903,25.468166,31.886257,32.321976,22.969383,27.487568,9.173391,14.286694,284.95422
ID2,29.193596,26.522196,20.408762,33.622063,52.71076,18.335629,22.401707,16.358969,24.022503,45.999172,36.247887,32.991917,16.122765,32.78563,10.168483,25.701347,166.13974,117.547745,16.695662,24.076454,9.700447,83.53674,49.54418,17.29309,17.289656,22.50527,8.944978,42.683945,45.76193,13.458404,35.898464,44.99131,36.27403,41.207222,84.61001,56.918457,42.399742,73.27711,30.267746,30.363066,8.837421,4.794928,17.856567,55.31602,60.63872,82.50431,19.12045,27.808495,14.005505,14.333695,28.502974,9.872636,13.853414,33.97476,16.567415,74.53214,5.0056505,20.80016,15.907601,15.141883,24.317095,32.31807,12.641941,17.6803,46.190567,26.10221,29.764765,531.38745,4.54726,35.486305,60.85949,12.417415,14.771194,36.56457,29.56117,14.9618,15.995235,17.476105,87.185196,45.412678,36.396984,26.528828,199.36456,87.19995,25.374784,30.05498,31.273895,15.931814,4.283151,35.59086,52.274815,24.174477,70.40167,77.37914,27.828236,17.316923,101.81179,9.733248,29.023182,55.41212,116.31797,15.064626,41.52643,17.387032,46.3572,394.4025
CD59,385.28983,176.21854,288.71924,209.47044,802.00385,309.89938,321.1556,254.70584,231.85835,488.31665,429.10995,313.478,245.05331,361.59137,181.21506,539.56445,399.794,1027.3749,302.89075,201.13766,149.4415,402.3472,424.61508,266.61945,171.60289,501.28458,265.69226,419.55612,426.4279,228.47853,638.225,571.4281,442.72345,423.18112,543.4929,412.03156,539.8518,483.8702,134.17128,266.91528,226.85828,152.8109,183.8415,208.20494,535.7449,237.67314,243.92032,327.3727,582.03265,257.456,406.5047,186.80873,161.32213,362.38525,152.29567,1173.3247,161.76245,260.08188,232.52557,326.26703,374.69644,535.4635,206.99718,195.49406,482.02603,335.44836,467.7412,284.9459,143.73572,154.96698,780.11035,73.13706,186.7437,216.1811,373.45703,229.99706,245.36008,229.89339,176.65814,224.15976,205.76413,466.66644,346.88873,413.18863,647.056,280.52148,559.6904,368.99588,174.33105,324.70258,430.4109,198.33267,524.9441,383.77563,364.11218,317.3033,211.45155,211.92532,530.4024,642.9054,397.64056,133.39703,277.2745,278.066,433.96057,6668.6
LINC00685,31.9319,10.598808,23.010519,26.11335,51.864605,19.426754,20.651047,14.713541,19.876045,37.12839,31.04665,28.87495,18.823832,32.12943,11.384995,54.38937,36.114468,93.60399,18.832827,16.935942,10.2356205,30.61834,30.729383,21.978142,10.98733,36.40544,15.222967,33.486595,31.672184,12.168981,29.661182,49.81186,35.114918,24.978334,36.266136,27.329863,39.12422,41.860527,11.120614,19.629084,21.526405,15.93344,14.453523,22.289274,46.35137,31.574816,22.605103,25.891264,42.410534,17.531929,25.022905,19.718899,12.066411,20.826416,9.967554,65.88997,12.319256,17.414085,14.575674,19.012465,16.66432,30.969318,11.188638,11.097704,26.499977,33.638706,31.111477,16.438156,7.6467924,12.693631,54.82909,4.1282587,15.393188,19.365055,34.142906,16.694223,16.957808,15.535601,8.324163,21.571575,11.345027,28.335175,18.945427,27.701712,38.54882,19.507883,40.26842,21.318604,9.740108,30.511091,41.393524,15.754197,31.020433,35.554226,21.328154,18.453287,30.667881,20.185946,36.118183,50.584812,35.406605,14.270142,28.597036,15.651409,26.958363,402.06665
ANKRD28,70.075165,23.898657,59.132256,34.58705,170.38062,52.34662,68.992004,38.388184,46.57251,106.49162,80.19359,59.162994,42.389465,56.492786,28.942831,136.91199,139.40598,326.52713,69.7009,25.101036,26.899733,74.724686,72.52289,46.820602,41.602844,70.16446,52.8232,160.16887,64.448204,26.475908,92.40514,128.70987,61.045837,127.31005,119.578125,68.87081,146.90787,127.475746,27.419998,58.07807,32.29882,34.816994,25.159943,47.589626,97.05342,48.06462,36.767494,66.773575,57.424084,43.027832,83.90018,25.696518,32.007275,72.4509,28.871094,189.25,28.590221,47.47654,37.32359,70.37931,71.83539,94.204414,41.396896,42.47049,77.34797,76.71214,80.26403,60.403435,26.01364,19.777195,169.50488,13.7833395,39.687042,23.419067,69.00066,41.788593,44.432182,46.39897,32.202316,40.08513,35.244476,92.143814,68.129486,58.331596,98.388565,50.755257,98.99821,51.851395,38.67144,63.893288,57.77537,37.563248,74.11955,75.32592,63.70882,67.438705,31.813875,53.47979,103.819214,119.06843,64.87071,31.718052,73.59884,66.17907,64.38059,1289.5345
GPR85,21.623688,8.05347,14.676287,7.55126,42.260925,19.946629,18.90728,15.441549,12.751308,26.586721,30.026003,15.588299,9.020745,16.875738,7.869075,138.83292,75.06024,228.31085,37.809727,5.906333,7.1400814,19.042225,19.053009,14.001958,15.449247,20.55416,15.961674,24.177267,18.058159,10.056422,25.286514,45.711433,14.352405,59.178757,22.973642,16.89354,27.9913,23.790886,4.091133,17.023731,6.811342,8.29993,6.5627365,9.70678,22.696371,18.076593,13.522764,17.866686,17.186337,9.07337,18.203016,6.5209227,9.861998,23.522924,8.948097,54.827827,6.708887,10.481057,10.83378,20.203466,16.696169,25.240993,10.472869,11.583995,23.120033,35.159187,23.631203,10.407402,5.633643,7.904624,60.15123,3.712766,12.946212,8.677455,17.542484,10.850078,15.716595,18.389366,5.53786,7.6030483,8.848726,23.810009,23.347713,11.502504,20.92335,13.645118,27.714176,20.746094,9.558112,14.586859,61.113647,13.822498,22.599075,27.148417,12.710495,17.943974,6.132173,12.370076,25.347097,32.048744,23.726631,2.3207154,16.837324,14.458223,24.1367,373.91885
KCNH2,1446.0892,415.42627,1590.3365,825.5086,4372.905,1985.0773,1555.5126,1256.5452,629.9749,2439.8691,2163.873,1983.7103,1059.1617,1541.4484,742.67065,1488.8813,1883.8605,4532.296,1682.842,537.1609,548.9969,1357.0947,2107.7153,1074.757,761.9927,1369.447,1699.128,2255.0479,1558.5687,891.2361,3055.7554,3808.7466,1233.3436,2429.6946,2229.906,1296.1357,2558.0535,1768.1583,428.9866,1627.6405,290.4314,895.1722,448.88284,565.1292,2154.7158,802.2947,1096.1472,1972.6852,1933.817,1147.6497,1899.9902,555.97736,828.4031,2143.5796,747.9562,5368.8623,722.0523,906.54865,1372.6914,2011.3468,1882.4235,2796.1692,1093.6432,1059.81,2339.578,2332.228,2264.4045,873.85034,761.64087,384.7649,3031.3225,320.84894,807.28406,481.951,2095.2896,1067.5332,1322.3014,1353.2767,702.81683,672.2815,969.6412,2569.4224,1075.5159,1590.8418,2574.8413,1165.3726,2512.891,1735.0527,958.89014,1390.3652,1646.9888,836.9579,2260.9468,2392.9053,2059.793,1708.8203,393.58127,1293.0823,2566.6125,3675.1328,2130.4229,471.33737,2069.1194,1937.4792,1927.0029,38462.227
TRAPPC6A,553.5238,275.28345,433.54086,411.58087,1275.0754,470.11353,526.9543,390.66827,316.6742,765.5088,618.6382,591.84406,358.05936,530.32056,233.15063,624.26074,580.90094,1423.2065,370.3166,230.8825,273.018,611.30023,623.0895,511.17093,414.34927,665.201,361.5621,849.3433,615.6123,307.8337,703.43195,1330.2524,406.8043,523.91785,951.19415,627.0579,890.73596,778.1309,236.94478,497.22314,150.53326,259.02713,249.47975,351.40952,695.0216,441.56152,420.26825,628.72595,738.20996,433.11346,563.4927,231.39957,254.28358,582.59094,259.96906,1473.3536,189.28893,362.3845,390.61877,476.6292,436.21844,652.8039,337.46878,306.68927,643.48737,898.91943,704.96844,337.3682,199.98424,211.99847,933.9089,112.25734,382.1564,337.02246,653.32605,463.59027,405.0669,353.6865,272.80576,323.2029,312.5758,701.53,544.24066,529.09955,992.4295,455.9912,896.2981,470.295,283.23868,456.7158,705.4105,285.4414,575.2994,649.83984,559.4733,461.79446,329.87482,415.53253,713.0891,1060.2728,760.5685,231.29945,655.32043,370.67603,513.16974,9901.49
CDC45,678.6424,198.66676,578.1637,357.82175,2064.6091,848.20825,710.52655,557.7855,322.0474,1112.0739,752.6449,766.5214,371.23645,619.3743,205.9159,444.37677,517.1115,1285.5798,665.75806,231.22882,258.33344,695.47577,935.79565,594.2679,417.27902,940.322,707.97095,822.1869,819.79395,385.11948,1399.1339,1488.8237,1010.43787,795.3584,987.1892,497.73026,1061.6147,673.55884,191.62944,550.6288,119.359314,417.09912,205.91655,247.7875,742.28076,337.3204,385.4151,660.8167,627.28424,453.41583,740.2633,269.97324,374.22446,875.2496,328.69638,3252.0923,297.37338,417.266,617.93384,991.2863,1010.55444,1382.9233,480.6831,443.57663,1049.0787,924.4397,947.4246,272.23718,326.1394,176.76,1323.2878,130.55421,412.97806,314.63278,751.7643,400.7564,540.1196,520.50116,337.49078,367.83887,467.00876,1076.7357,639.4412,489.70343,1134.1107,512.8115,1291.0608,763.5676,516.7467,571.2887,496.71585,380.69727,819.18616,747.65155,884.7665,727.3793,185.66545,579.73773,956.8735,1380.6625,859.1173,121.58806,932.00824,721.3203,794.42175,16493.39
ORAI3,77.26504,36.65235,40.159817,44.33982,111.02018,37.189972,45.550964,35.57433,32.021133,66.26425,65.27784,44.24988,39.106743,74.702034,31.033094,224.77054,113.83464,335.3174,47.243057,27.674099,25.052933,63.051632,42.192333,50.667545,61.988533,51.812645,31.4596,79.93213,41.45059,39.586964,63.488937,181.64359,57.093105,83.47694,83.6298,62.431114,82.84561,102.161194,24.103636,51.15189,44.186455,25.21026,33.242123,67.388565,98.10757,64.46124,42.91688,60.189735,107.59897,38.713596,55.748085,35.556747,27.349762,58.368347,28.884434,156.33478,22.558577,37.123405,33.036724,39.504623,34.221214,69.027466,34.756794,27.794144,62.39184,127.7252,54.459843,51.661163,22.131372,19.38656,152.73961,12.841679,36.22517,36.771675,84.75694,51.295135,46.847607,28.790451,32.905537,38.83858,30.854977,80.12593,52.54573,60.10367,74.348434,54.47155,75.05085,52.98416,23.954306,53.014565,128.56422,27.763239,55.438587,59.785786,48.862015,41.700504,93.26329,37.737617,81.065414,99.89757,49.54489,26.219046,55.697407,33.222473,55.055984,874.1862
