gene_symbols,Basal resting,Suprabasal,Hillock-like,Deuterosomal,Multiciliated (nasal),Multiciliated (non-nasal),Club (non-nasal),Club (nasal),Goblet (nasal),Goblet (bronchial),Goblet (subsegmental),AT0,pre-TB secretory,Ionocyte,Tuft,Neuroendocrine,SMG serous (nasal),SMG serous (bronchial),SMG mucous,SMG duct,AT1,AT2,AT2 proliferating,EC arterial,EC aerocyte capillary,EC general capillary,EC venous systemic,EC venous pulmonary,Lymphatic EC mature,Lymphatic EC proliferating,Lymphatic EC differentiating,Peribronchial fibroblasts,Adventitial fibroblasts,Alveolar fibroblasts,Pericytes,Subpleural fibroblasts,Myofibroblasts,Smooth muscle,Fibromyocytes,SM activated stress response,Mesothelium,Hematopoietic stem cells,B cells,Plasma cells,CD4 T cells,CD8 T cells,T cells proliferating,NK cells,DC1,DC2,Migratory DCs,Plasmacytoid DCs,Alveolar macrophages,Alveolar Mph CCL3+,Alveolar Mph MT-positive,Alveolar Mph proliferating,Monocyte-derived Mph,Interstitial Mph perivascular,Classical monocytes,Non-classical monocytes,Mast cells
FGR,0.0019493177882862923,0.002516933166698659,0.0012774447205518551,0.002775622376994127,0.0010514149878224348,0.0037889102460847775,0.002116040421054194,0.0003463101172172584,0.0004313229751874863,0.003918439709455934,0.0017384776829691177,0.013839418880046667,0.012826835006102493,0.0,0.004936762083167114,0.004507750042483349,0.0,0.0,0.0,0.0015017538721881281,0.016380761371764693,0.019581556555304244,0.01704953860737777,0.1424309569427899,0.2210856063950267,0.2266292821593695,0.036055730538936195,0.12213306318561556,0.09552014799772557,0.10335138969763616,0.041924862501185683,0.0014726433679871944,0.010932735180932702,0.010163093002491705,0.010154119509035177,0.028756171701583327,0.007908722991420977,0.01733447251395827,0.0,0.0,0.01617401767795507,0.033459682834479636,0.06738374163932025,0.042317204624590744,0.012715551533116489,0.11921314127762135,0.1140240872814226,0.5208757840005843,0.44056220162226617,0.3724346971850976,0.23414751263856262,0.028689618780291925,0.723799700914676,0.8591396942093291,1.0026601830789166,0.6150064101312668,0.6189421235613107,0.38438587600625007,0.7807774778370071,0.8401016137552673,0.061021086940059636
CFH,0.5040849498040489,0.404637928597765,0.277382400823,0.1410538503127173,0.2424348629186286,0.22644611692395022,0.36075100600087784,0.37957455192648115,0.3192185201669839,0.3377697228770807,0.8583524366027824,0.1754600755712478,0.4908296221099372,0.10125538902729131,0.08254382195140925,0.021684966134489878,0.10690100404900407,0.026169888802325205,0.2137916964815586,0.5458603997192099,0.021342380660604263,0.04927339610923257,0.035448657424166724,0.14409172706241338,0.0022628301221548986,0.007103407808780175,0.17213687718756976,0.04060141885231789,0.16713803318121528,0.1515894272795086,0.1423201794274023,1.872355470110172,0.9724462562017196,0.8569378566765133,0.41212768012090784,0.8896095142616229,1.7922600941618552,0.2361596761321781,0.05779832859290684,0.09376723769932413,1.1815629041046813,0.06307985558616055,0.011729859154750574,0.02518746099679436,0.029863901814922683,0.027748823812454432,0.010850510614224783,0.010005400014519326,0.011867728476959244,0.03860982981713087,0.01838920566755803,0.003860833392844422,0.020616913147594423,0.00515465951240015,0.004299013888544785,0.011797046986921276,0.018883272688416962,0.10473517189753705,0.01155787187052048,0.0061589179531587315,0.010227613510171006
HS3ST1,0.11617222287396488,0.3723910444928809,0.40113776018374514,0.15631482454759155,0.18587564208245058,0.19388857187995392,0.529936849153939,0.37880731721009164,0.3738791386497913,0.49919046604332257,0.6285118317415589,0.03162210623846875,0.30581259386142134,0.21283212356184864,0.08937757213948862,0.3130780535313467,0.025223434686543967,0.012825664625761709,0.016648929606590476,0.18407787389436997,0.00259661697288565,0.0033806801876814243,0.006950727499615985,0.024158894304451787,0.0077090185031460385,0.06632364719124872,0.05935663068658487,0.11716383804928282,0.5384976234167881,0.384583851011067,0.5957148737463687,0.00888002184058548,0.015676992861672172,0.004656098613927726,0.020742215165789075,0.044815513957595456,0.0,0.023408532485913763,0.0014613662908830847,0.013211386574995059,0.0389718440909163,0.0,0.03398586954947401,0.004533409860152041,0.006235569263424082,0.0074017956248302935,0.007125918468035346,0.0061748488723479805,0.05597268648434851,0.06497366604152925,0.015535229806343183,0.12135707081443287,0.006301563249608783,0.008368328473341331,0.006637522810914355,0.014145995264106474,0.08902074319948344,0.06333303169090669,0.023960840351632907,0.02389283379963376,0.2567846319288663
TMEM176A,0.0015049102147103015,0.0033332113460726597,0.0006126292739953048,0.003313277453854263,0.005905449065808027,0.05715720175716785,0.03986934499621118,0.0007984936874733166,0.004891352109375043,0.05497777674963549,0.10954249342106887,0.06400854575075383,0.18757758098133978,0.03938438814654711,0.08526173863532345,1.1932276943959097,0.0,0.0012114838335835299,0.004924549643121107,0.01406657155357267,0.004483075327284603,0.008866215638140733,0.008836573057411317,0.017156861261265456,0.0031355141635826048,0.03975894336319397,0.023210259384136064,0.20845157397878739,0.04163323172986172,0.0,0.01573224235190583,0.4314979344107987,0.40684899467317165,0.4895324463773334,0.008983035322428872,0.7941941046094535,0.06711171059191538,0.05652929468187999,0.03618452939787179,0.02444413123706666,1.0094512309194845,0.008000442507535278,0.0055587017900509345,0.021415590493014145,0.0053700287334880895,0.006646797911644831,0.007306434986324101,0.005003839104918233,0.012693121290033244,0.3054369783032776,1.5947834964655645,0.0061589235988927125,0.05490579074376612,0.04556978841202834,0.022645617389366178,0.08131907340958655,0.2911568612333342,0.5183170141748737,0.18053148255945092,0.21407805064147564,0.2902574388492668
TFPI,0.02923754744619872,0.09259496772960756,0.05523706648976811,0.1463527377019217,0.013879109659274828,0.09107671034566271,0.0867164172349519,0.040629623023869146,0.036625818385384805,0.12016000524055243,0.10006727234842269,0.22811391836426764,0.4012642560962875,0.4317293051113203,0.05910811736098978,0.04083291389327519,0.0,0.0038652575373827095,0.027389833430116365,0.08328121387709649,0.04231888001977327,1.194166190555928,0.5780434345010647,2.068263495831883,0.7797300854478036,1.4542338315982968,0.8675575720155304,1.5980209824045792,2.2963381747973868,1.6249925749566039,2.3392823070956585,1.1637863307484024,1.2214747990181192,1.0602395538789926,1.1113961080984436,0.4216826460015539,0.45029385398104294,0.6537135403456499,0.06093333176185226,0.5708768575230277,0.12531001539802633,0.444897834729961,0.0117920980787689,0.04816774675772867,0.01550313218323983,0.0183027982896575,0.014872755159451332,0.017332824111064696,0.02245856100156144,0.04363083668812582,0.08076694320018116,0.053351379646752274,0.08278468375784877,0.046188860757946495,0.12427668628060505,0.11313152539885685,0.13483932157088355,0.11004548759919038,0.0960497220145554,0.07292417751846222,0.032318343445272436
HSPB6,0.0005548564515299453,0.0005725749748192806,0.0008408658836914974,0.0020287306695857907,0.0,0.0006209893775945009,0.00028959390501097365,0.00010348368960050888,8.768395142586014e-05,0.0,0.0,0.001497717766111472,0.0018311658102805408,0.0,0.0,0.0,0.0006727247479932544,0.0,0.0,0.0,0.0014994804102909098,0.0019248468441702977,0.0020559223994519563,0.0030725684322132456,0.0012191005736966697,0.00213334934576917,0.0032890044463006712,0.002304204964131945,0.003183405052206298,0.005953065086633484,0.021896738740891295,0.16561898011698833,0.40822715283943006,0.3212163524484303,0.020321457485771195,0.2078887581243114,0.07584248700231218,0.3746634569551783,0.22590684756945553,0.5218637054723083,0.023928876162018844,0.008064189228650332,0.003337149150683542,0.007045581479261661,0.0015278290251681888,0.002500793036121085,0.001261137089039614,0.0008667685237015202,0.0,0.0032202694299840674,0.007785506293557556,0.0,0.002618377415657423,0.0004545506289900981,0.0025139946701423963,0.0013654087016923247,0.002059687794227896,0.0032520806477087977,0.002130056339727798,0.001608562169059713,0.0036576617124163143
PDK4,0.023814004124446335,0.03767987714134851,0.010603198139259118,0.2723078156083008,0.06998618702392413,0.16692695259540852,0.019276932542281553,0.015945389718146463,0.024763229171960274,0.02459043807016798,0.005363594344520291,0.10739024333881807,0.08513773388100415,0.014752317265926582,0.02816265157892296,0.05898095415917258,0.024740034145070283,0.04329470673598662,0.011963642242050133,0.09277182139908238,0.10382477195497167,0.0765113319603318,0.11943264761017887,0.7945958634401303,0.6882637273356564,0.9142018183176659,0.22848492808617193,0.6545043509883112,0.2657934671939885,0.18352675063578175,0.9363373632620179,0.15254932051945386,0.579147937329027,0.6717554678045062,0.9154260840311592,0.2801520017750391,0.8953084138578448,0.8371149218343243,0.1683099774546364,1.4572199245732664,0.09780395759445676,0.017048125654823013,0.013169024519297318,0.03290059717906924,0.007631519482441004,0.010715966845263573,0.019760982292318863,0.018567312923457428,0.04872444636905105,0.20997743707809388,0.09298031053449521,0.009648853548199271,0.6056692404980263,0.11728148246885178,0.1289573725397435,0.5798682174565993,0.5554206775762923,0.6976642988754973,0.18655070167325774,0.4852619130304973,0.022644577149910673
ZMYND10,0.0116081383860343,0.019386812865059326,0.0059831781698663844,1.3884347062778524,1.2193290085208952,1.2181317219307024,0.012570011364965376,0.015277420959087596,0.08249509577931471,0.05211747987608572,0.10480031535108171,0.010965939069392342,0.01761467092172211,0.011418539781364312,0.0077363224638103195,0.009001586694367479,0.0,0.016389023715404537,0.011688799712446359,0.01628938050427494,0.00666635482014395,0.012545614980825171,0.03354964480012985,0.006191903872584917,0.004313874811413061,0.00433434254810492,0.013266091745938962,0.0029727374549273168,0.005163042598833795,0.03260934677996839,0.004196940535177455,0.02339932754803191,0.004190965082860537,0.002585268578393385,0.0034032123416264004,0.005767988816579653,0.0046033193004005974,0.005599957257715512,0.0,0.015392018355575045,0.018974012457182568,0.00934044967731659,0.012415552131206759,0.01691424744375265,0.012656401204060525,0.026869323646258676,0.028223049552787937,0.009787541435483216,0.020420304422216342,0.015271884443733912,0.0030129875705314293,0.004446383500311993,0.004544869577836305,0.007549971028147191,0.003309775851657922,0.04380025259067466,0.0037591153493553887,0.0030159108239651675,0.009353726070990678,0.005587883482593188,0.01202921734096761
WDR54,0.060818261869431095,0.05240711813626032,0.04927435567316827,0.8867131841677058,0.9799655204228915,1.0371984813255228,0.020900658722141377,0.027233628384582584,0.058918380319024646,0.05828316673901634,0.1012418569892771,0.058994639837222834,0.05906784318104215,0.05689769223593524,0.07302913074351108,0.14137776205425268,0.0054678965739351545,0.012539523630818469,0.04917460951804722,0.03315618052825144,0.021690205827967428,0.03647007896383533,0.07910406263082176,0.08052879515478083,0.14966033765402542,0.0691169515034448,0.12825042061453176,0.07489669789587465,0.12629209218088888,0.19422635428430288,0.05622219999167253,0.07053753536521586,0.06244544594329439,0.046960131138119136,0.12770994749426606,0.05618232383180844,0.06529024664488939,0.08688837882118702,0.02449405553159556,0.07820571215936181,0.13026877773483173,0.12080895387388199,0.07152416637819922,0.10733612055579164,0.11143303665681774,0.11299861467823237,0.2707465080483615,0.09438554255637137,0.069015135297607,0.052155765446900065,0.11059342661668044,0.10799641120220586,0.021129156927172675,0.021047755210183785,0.006312435474215218,0.06279479391379314,0.019282477836843573,0.017960014273374153,0.023408065948355847,0.03146065989656278,0.05389023895175718
ITGAL,0.0013410108007392422,0.0016334169931684535,0.0004393628324504915,0.0031680784610727698,0.01228809267503081,0.01512765447022151,0.001646248226304585,0.001168248215288168,0.001114221515497981,0.0025158507891171913,0.0,0.004495610579453714,0.002909145018090444,0.0,0.0,0.0012640843520526559,0.0,0.0013125086374619465,0.0,0.004558988201940788,0.0022340139919890378,0.005645727803758584,0.0010378450003897392,0.003753079916945766,0.003062604389089277,0.0050277984554268915,0.0046488093343417265,0.006343234231828387,0.007005595587731003,0.0,0.0027092309402415426,0.0029721338674282526,0.0033948093898092694,0.004095757383242137,0.003111748365974022,0.007825877017023471,0.0,0.004761061861894909,0.00039776384520078705,0.0,0.009500659071685425,0.025898710212445126,0.05122146615926867,0.07312921754735217,0.13637350620406097,0.22322947566907117,0.2424192888454919,0.32345229137683046,0.15885545282266214,0.06542919526547374,0.0396999024902418,0.06989052407980215,0.17167981934023557,0.18733357935888137,0.0896424234853667,0.1672188358720299,0.08411658738836902,0.055196969354297166,0.13465012502874027,0.3093987750725743,0.023036531328342623
