gene_symbols,AHR,ARID1A,ARRDC3,ATL1,BAK1,BCL2L11,BCORL1,BPGM,C3orf72,C19orf26,CBFA2T3,CBL,CDKN1A,CDKN1B,CDKN1C,CEBPA,CEBPB,CEBPE,CELF2,CITED1,CKS1B,CLDN6,CNN1,CNNM4,COL1A1,COL2A1,CSRNP1,DLX2,DUSP9,EGR1,ELMSAN1,ETS2,FEV,FOSB,FOXA1,FOXA3,FOXF1,FOXL2,FOXO4,GLB1L2,HES7,HK2,HNF4A,HOXA13,HOXB9,HOXC13,IER5L,IGDCC3,IKZF3,IRF1,ISL2,JUN,KIAA1804,KIF2C,KIF18B,KLF1,KMT2A,LHX1,LYL1,MAML2,MAP2K3,MAP2K6,MAP4K3,MAP4K5,MAP7D1,MAPK1,MEIS1,MIDN,NCL,NIT1,OSR2,PLK4,POU3F2,PRDM1,PRTG,PTPN1,PTPN9,PTPN12,PTPN13,RHOXF2,RREB1,RUNX1T1,S1PR2,SAMD1,SET,SGK1,SLC4A1,SLC6A9,SLC38A2,SNAI1,SPI1,STIL,TBX2,TBX3,TGFBR2,TMSB4X,TP73,TSC22D1,UBASH3A,UBASH3B,ZBTB1,ZBTB10,ZBTB25,ZC3HAV1,ZNF318,control
SAMD11,9.368401,3.663634,5.313603,5.374637,14.862318,6.4704714,2.3863456,3.3304625,3.1138406,12.914679,10.548863,4.9131403,3.0095634,5.327124,2.7604392,6.6079764,32.82058,25.400335,4.6569133,1.1624408,1.7778968,7.7141814,7.0669556,3.9594545,6.1606283,3.7207494,5.1644936,25.102278,9.857369,4.355353,9.007324,10.315749,5.486036,6.4051585,15.205334,6.5156364,9.93391,10.695623,2.1857295,7.3225913,0.9012658,2.656015,1.7018706,3.2291913,7.078841,10.638645,5.201212,16.744694,10.792866,4.5298853,6.35683,4.2780657,2.8663037,6.512556,2.9356155,17.650055,1.8319886,6.1564226,6.061307,6.6819263,6.144055,8.14528,2.6471076,3.1757402,7.3102884,8.727884,10.894442,5.1825495,0.53012097,3.0394206,26.717566,3.010515,3.2860496,3.483205,16.074364,5.901225,2.0794678,6.8042088,8.873889,3.7023494,3.5057323,5.6915,14.603899,4.182954,8.722926,6.9927745,8.743426,5.829126,2.291197,13.36451,6.573342,2.68898,5.6181097,7.6786995,9.935572,2.9706643,1.9413363,2.3400064,7.110925,15.370707,5.344365,3.6065521,4.6723943,1.6936445,4.2578373,117.71924
HES4,148.04355,54.633656,113.973946,84.150986,341.40833,134.46976,117.67117,105.26465,62.759598,212.33345,164.23175,173.2315,89.51807,121.40768,52.762154,98.17915,113.17528,262.6889,103.32443,61.84406,50.223816,153.61984,179.50813,103.91357,80.972176,137.74359,101.43833,164.91096,193.6386,74.36613,213.89923,314.887,223.77312,156.18474,214.19987,110.17445,212.27454,155.82275,38.8102,104.777054,23.564415,84.48692,51.24287,64.33021,189.11858,88.656006,98.9224,161.97075,178.40295,113.24127,135.91896,63.93676,67.629906,139.04453,58.912025,463.29794,45.71917,89.318085,106.18009,132.97977,122.64848,209.45749,89.96173,91.97759,184.38701,205.70804,200.5665,60.653442,46.909466,40.28059,238.75015,28.961967,92.32283,75.788086,180.50983,105.162186,102.00087,96.59897,59.303265,80.40529,94.736305,175.6031,127.7128,114.557945,226.99226,125.40584,260.97345,148.48784,76.34735,90.78824,150.38017,78.640305,147.1398,146.98969,159.63278,120.74838,53.077415,111.98075,206.06992,302.7091,171.06602,34.03208,170.20973,112.25866,157.81384,2852.8945
ISG15,279.44452,95.562485,206.8077,157.92978,628.24915,235.99113,222.96606,192.07187,139.94244,382.86172,344.0898,281.32715,158.76503,220.21829,100.62226,312.1366,254.08156,656.38,220.23381,120.28421,104.974625,305.82828,326.15442,189.40515,170.03665,253.0888,196.17676,340.8381,302.01752,132.86359,374.02704,728.60736,342.34943,282.06445,391.10565,212.74681,395.56238,335.71838,102.17528,219.949,43.635216,136.26051,115.32401,154.148,381.09558,212.61292,204.26088,289.03134,342.2666,671.9073,273.36792,126.54796,115.04753,276.92615,122.52756,859.4447,104.06413,180.16763,172.48854,262.43286,240.86412,368.45355,146.54254,164.24417,354.61273,509.0409,364.444,149.00449,105.59811,96.77472,540.7897,62.636326,180.904,110.86604,334.99176,176.54243,176.28217,185.21922,139.9664,166.1039,148.35725,361.0489,249.16994,237.17828,475.93604,211.27849,412.37143,248.13101,123.62305,222.86351,349.69263,159.13066,300.1966,321.67993,269.13144,241.43542,135.56259,184.41571,380.22662,531.0593,303.0644,92.108284,313.88763,212.83426,285.16702,5201.5967
MMP23B,17.312895,9.630321,8.677674,10.350353,33.495747,11.373658,10.231623,12.245745,7.7951174,19.59817,14.367607,16.786964,14.188921,20.440598,10.134511,15.520401,16.202309,31.332043,9.125895,11.355864,2.7450097,23.893131,15.714404,9.581756,8.355824,10.943364,9.699136,12.966728,19.056704,8.052293,14.35915,22.555557,14.406406,13.130802,23.141626,10.9264965,19.216639,13.02996,7.7235546,10.5999155,3.823658,6.7510304,5.6809335,9.416073,21.345112,7.796813,12.53871,21.257215,17.427414,6.627296,11.211485,9.614978,8.264408,11.567893,5.9691386,47.263927,5.0988746,7.421747,10.753672,13.3111,9.232599,19.371353,7.6801915,5.799905,16.656628,8.43188,14.773911,5.8544326,3.8067842,3.743823,21.249151,3.3381126,9.444215,14.774898,25.027828,13.262526,8.231057,10.111502,6.7656956,9.067911,6.9363804,15.90461,10.696209,16.185785,23.508835,15.397251,30.991573,14.596422,6.1878486,13.485828,18.121859,7.802764,14.169086,12.148435,18.347387,7.645214,12.882106,8.503679,18.174097,31.108545,25.483719,4.9708624,15.228096,10.479915,14.252667,239.1135
SMIM1,176.36778,84.738495,132.62393,182.33208,348.1415,137.48387,119.53433,134.52371,105.91327,238.94925,172.52066,210.55307,139.60414,225.46724,87.51911,195.22156,168.10944,416.92175,133.74872,77.971405,77.19773,276.09674,249.77269,107.3953,82.87692,154.06717,98.675446,178.74829,285.5172,83.94389,203.87012,296.5285,258.20328,146.945,257.68878,185.40776,225.65973,208.2511,66.78999,156.39096,31.676617,76.86195,59.997257,123.04425,230.3185,155.21027,215.56615,211.54565,510.81506,94.62857,132.71683,77.2505,77.403206,148.63158,74.6178,445.57867,59.298805,119.143875,121.79773,153.86957,117.8504,174.8602,98.98826,103.33738,172.7508,185.17691,218.33736,92.706375,52.869495,46.701935,246.32764,30.27005,126.28865,152.5282,380.95312,162.61603,112.99838,127.86417,80.00488,147.57545,94.17733,191.66142,141.15883,179.83086,223.47093,171.81114,223.2364,161.60007,66.443,111.62499,289.0355,87.36248,191.80281,161.99748,155.31882,126.10199,245.41019,103.37242,231.70172,372.1797,257.3589,70.84416,216.64066,107.06363,151.39618,2928.9583
LINC00337,5.343847,1.180171,3.0013256,2.9210565,10.570303,5.176424,3.3578186,4.087639,1.430718,4.2205873,5.570881,3.750314,1.8121048,3.5953746,1.2493844,2.3229585,4.772051,7.0212035,3.587963,0.34474373,0.43957347,3.0265949,7.0628376,4.0100775,2.7450156,0.66951966,3.1721604,4.3529224,4.6619043,2.6218078,7.144583,10.96209,6.0730066,4.8140116,6.0204563,3.0554767,6.3676877,5.5790043,1.252077,3.6893408,1.0011652,2.2116728,0.48294672,1.1905993,4.6474447,2.0180323,2.9452763,3.536173,5.24829,1.9166569,3.9173963,1.4737659,1.3051472,4.073576,0.9969946,14.08722,1.6404676,3.0961998,4.1909194,4.638774,5.156908,7.0303187,2.6950083,1.6718003,3.073108,6.4822006,5.486779,1.969609,1.5590233,1.9478304,7.616901,0.63413787,1.5169599,1.5579852,3.259095,3.3121123,2.17328,2.1126118,1.4433498,1.497881,2.1715891,3.2313988,3.6596134,4.160862,6.348846,3.3493202,6.2344832,2.9748514,1.1658446,3.0199366,4.0597215,1.4733522,4.6801577,3.3368142,3.1089537,3.7044208,1.7518353,4.4283895,4.8934746,7.2202044,6.1657453,0.93223774,5.2367616,3.6949887,3.2629988,80.15941
ENO1,639.65234,364.9889,485.04288,410.24738,1578.0415,625.1067,546.7291,507.67908,360.96338,974.63007,765.96344,718.427,458.65842,654.87744,272.21353,877.55383,632.6147,1820.0122,539.892,280.52557,249.84283,817.63574,852.6933,543.2117,402.78528,846.7525,560.27655,818.5587,791.24585,348.88434,1113.6277,1392.8949,877.0444,653.53754,1030.4404,588.756,946.1983,832.1224,263.20572,522.36633,194.32883,342.68427,350.30173,430.93384,892.9165,489.81683,543.38513,693.0713,1085.9246,571.85425,586.83624,335.5962,321.10574,710.92694,292.54886,2459.8162,242.66745,466.8577,418.9818,761.3711,750.99927,1121.7915,401.15906,397.77805,972.43427,931.2002,801.3619,383.25534,275.1602,223.3015,1258.4807,172.25398,408.29788,409.96414,828.51135,561.4735,467.2984,438.44315,333.88754,434.13934,406.57495,860.42004,612.1543,685.2683,1051.6221,539.6365,1099.5813,643.1747,364.52756,601.3455,1021.9952,410.91147,719.32544,808.5544,712.63904,560.2238,498.778,444.88016,864.5546,1343.9475,797.0447,281.48856,810.89777,540.62604,646.70105,13412.219
GPR157,2.8360143,2.1895409,1.4680724,2.1567001,8.324494,3.0026538,3.365504,1.8464696,0.5175514,5.0573463,3.4273849,3.3563933,2.2048888,2.785893,0.90487945,2.206569,3.4487157,8.052579,2.7880754,1.2270796,1.2778211,5.111041,3.1511855,3.0909445,0.7985979,2.2549288,6.6223407,5.136799,5.112585,2.5859325,8.4588585,7.232227,3.681189,2.6120157,4.678502,1.5734378,4.814666,4.7525353,0.61935496,3.3838015,0.66122645,1.7203585,1.7984881,2.860512,4.730813,3.6764467,2.2959418,3.4830456,3.8474016,1.365108,4.015002,1.0925264,1.7664341,2.9569728,1.2072107,13.992891,0.34841746,0.7377534,1.0341688,3.1654377,4.6107125,5.286411,1.3373257,2.2706895,5.114601,4.514787,3.5697799,1.7364198,1.454514,1.7359084,5.5508804,1.329018,1.0534751,0.65638894,3.8626745,3.0782783,1.4580944,1.9654235,0.7755991,1.0318749,2.7355523,4.6213603,3.6622105,1.8830119,5.807471,4.4710164,4.002411,4.5243506,2.708134,2.3715281,1.9122753,2.1415057,3.9782314,4.2709126,3.0008008,2.9894729,1.1814281,2.9957914,7.363279,8.725106,2.2668197,1.5627818,3.349325,2.4281778,2.793496,69.96662
PGD,361.91327,144.36783,269.08978,223.69461,816.7366,312.2411,290.0336,274.46222,163.03038,504.22983,376.8044,376.52863,195.30821,287.73334,126.00992,614.9838,378.23163,1124.8392,291.21783,141.43439,128.84258,396.16397,432.46292,262.96164,196.0844,321.95755,254.54178,429.38953,458.30737,183.53825,492.17038,693.7118,465.41312,388.3015,524.55634,283.41605,489.34692,434.4624,145.07034,275.45615,56.403133,188.40916,150.03133,178.99095,451.7208,241.38492,259.38956,346.1437,445.85526,236.82954,322.5363,166.71388,153.52206,347.8158,145.11566,1077.6194,137.15933,225.02931,246.8862,318.2128,304.1244,475.8521,199.52019,205.48576,442.14142,483.7591,459.8706,171.35254,135.98856,122.68377,654.1354,63.890076,226.41621,171.89432,372.99393,259.9727,241.48381,256.21567,165.71481,185.58253,184.79364,421.88855,298.9651,293.21713,589.3489,268.8987,552.87744,338.3156,174.65869,273.95102,405.36963,194.88188,400.35986,382.20026,352.57523,315.46002,143.37811,221.48917,475.32733,690.23865,397.59592,120.26318,408.71988,273.72656,336.99628,6687.0674
SRM,709.4186,350.60562,519.68994,489.11255,1518.885,589.8829,572.02045,536.32715,392.41666,954.2781,795.1886,701.052,401.728,582.3116,233.37746,1265.5134,808.0795,2181.984,553.53186,330.40842,297.65317,837.2955,845.6261,491.9157,489.1696,659.0745,489.30548,801.49,905.97754,370.69653,1027.2302,1387.9612,901.90497,679.33325,1061.6353,637.4353,938.56415,856.4789,271.19934,519.4401,204.54065,352.5293,309.36774,510.7337,965.3021,625.5652,498.68707,696.284,1104.4346,461.65906,572.6974,328.33304,302.19778,678.9341,292.0069,2394.5146,272.23505,440.56552,447.14044,662.2624,615.2713,959.85284,428.30817,419.28857,893.9309,873.29944,836.4266,393.36218,271.2896,302.7447,1325.3685,191.98662,430.83484,471.98404,766.619,592.56854,448.98633,465.46362,393.63544,443.05023,372.78833,803.71655,631.33136,678.57874,1199.7388,524.14166,1148.835,599.96216,327.422,571.1507,1153.2312,422.219,759.839,779.2368,696.3622,515.5203,529.6372,430.58344,933.7603,1338.6447,772.2788,294.0615,743.3489,539.9295,663.2544,12740.281
